volume,price,datetime
16364.13297,488.0,2014-04-01 20:01:55
37338.36148,444.0,2014-04-03 16:21:23
19125.02826,432.558,2014-04-04 05:15:49
36694.34443,450.1,2014-03-31 06:12:38
33598.3992,435.0,2014-04-02 20:33:58
28110.85609,457.5,2014-03-31 19:53:41
20085.03346,425.027,2014-04-04 05:50:52
15392.26759,484.799,2014-04-02 04:07:38
36941.51797,452.658,2014-03-31 06:37:40
12212.16635,468.995,2014-04-01 05:59:25
34956.52817,426.386,2014-04-03 05:34:51
17507.16868,479.5,2014-04-02 00:17:22
33184.19031,423.75,2014-04-03 01:14:23
16356.73783,486.064,2014-04-01 19:16:52
22001.36034,485.45,2014-03-31 01:57:22
19128.34942,431.12,2014-04-04 05:05:47
26061.15595,458.722,2014-03-31 21:28:47
14663.77879,459.0,2014-04-02 15:18:27
21780.64431,444.18,2014-04-03 23:38:48
19031.56277,430.78,2014-04-04 04:35:44
16358.11688,488.0,2014-04-01 20:16:56
34130.7011,424.0,2014-04-03 03:34:38
31003.41916,452.505,2014-03-31 05:07:33
14173.54166,458.597,2014-04-02 14:58:26
36146.20242,412.16,2014-04-03 07:20:00
32971.88433,437.721,2014-04-02 22:14:06
30552.85684,465.999,2014-03-31 16:38:25
21697.38454,434.99,2014-04-04 06:20:56
21914.25716,478.85,2014-03-31 01:22:19
16282.56159,485.537,2014-04-01 20:41:58
19057.18203,430.5,2014-04-04 04:40:44
37570.55856,446.625,2014-04-03 17:06:28
11251.06256,492.0,2014-04-02 12:03:12
13651.28638,490.8,2014-04-01 08:34:37
22231.54018,480.733,2014-03-31 02:32:23
35302.92872,416.444,2014-04-03 06:44:58
38170.32925,418.9,2014-04-03 09:15:11
26425.06704,440.0,2014-04-02 18:53:46
24103.73042,460.46,2014-03-31 23:49:00
22108.84756,481.574,2014-03-31 02:12:22
16764.96752,449.301,2014-04-04 11:56:28
16366.91437,488.001,2014-04-01 20:06:55
11846.79509,492.31,2014-04-02 09:38:00
19534.04993,435.999,2014-04-04 03:30:36
35145.11877,465.0,2014-03-31 13:03:08
32955.58681,426.1,2014-04-03 00:59:20
29650.34495,463.1,2014-03-31 17:38:29
38190.64798,419.0,2014-04-03 08:30:07
16444.76699,486.659,2014-04-01 18:46:48
37132.60975,451.99,2014-03-31 09:27:51
17267.92278,445.44,2014-04-04 15:06:59
22940.55618,441.877,2014-04-02 18:13:40
18752.41265,479.914,2014-04-01 23:52:21
14436.64227,487.0,2014-04-01 09:14:39
38755.19323,432.37,2014-04-03 10:50:21
37218.87037,454.936,2014-03-31 08:57:49
12860.59796,468.498,2014-04-02 14:23:22
16370.75348,485.9,2014-04-01 13:09:57
39644.40837,428.5,2014-04-03 11:50:26
14757.84713,446.4,2014-04-04 16:27:06
33170.25266,461.799,2014-03-31 15:03:17
16499.13954,488.989,2014-04-01 18:31:47
16731.96294,487.0,2014-04-01 10:44:45
21546.33022,437.67,2014-04-04 00:30:16
37615.55431,457.485,2014-03-31 07:57:45
15182.37515,476.5,2014-04-02 06:02:45
33440.55478,440.0,2014-04-03 18:06:34
12442.23309,482.0,2014-04-01 07:29:31
15172.18745,480.299,2014-04-02 06:27:47
17295.54732,444.54,2014-04-04 14:46:57
36880.48915,449.327,2014-03-31 06:27:39
23123.00978,444.1,2014-04-03 20:28:26
16385.61389,484.999,2014-04-01 14:10:01
36832.80397,421.2,2014-04-03 10:05:16
17098.5873,487.386,2014-04-01 21:17:02
30042.34869,465.014,2014-03-31 17:13:27
11340.28474,494.0,2014-04-02 10:28:04
34313.8935,459.874,2014-03-31 13:43:13
30381.03843,443.398,2014-04-03 18:31:36
16678.00738,490.005,2014-04-01 10:34:44
20396.79548,440.11,2014-04-04 01:15:21
15776.49265,484.999,2014-04-02 02:32:32
37501.80812,452.994,2014-03-31 10:52:59
16230.56771,444.43,2014-04-04 15:52:03
13233.44273,499.502,2014-04-01 08:19:35
12196.64019,479.39,2014-04-01 07:04:31
31831.16521,443.0,2014-04-03 18:16:35
13516.85643,486.0,2014-04-02 07:32:52
32782.35473,469.0,2014-03-31 15:58:21
12361.73765,476.089,2014-04-01 07:09:32
17220.58411,443.4,2014-04-04 14:26:54
11378.6595,492.464,2014-04-02 10:43:06
16632.58068,479.09,2014-04-01 14:55:05
38179.32869,427.43,2014-04-03 14:50:49
19548.37888,433.679,2014-04-02 17:33:37
15631.90893,483.0,2014-04-02 03:32:36
34205.06175,463.0,2014-03-31 14:13:15
16906.57905,455.0,2014-04-04 11:26:26
17864.43384,469.463,2014-04-01 05:04:21
18651.21919,444.0,2014-04-04 10:16:18
15462.64024,482.001,2014-04-02 03:52:38
39190.19501,434.338,2014-04-03 11:15:22
32734.38207,469.0,2014-03-31 15:53:21
35448.61923,442.5,2014-04-03 17:36:31
25989.55469,465.247,2014-04-01 02:44:13
16438.41976,450.559,2014-04-04 12:21:32
37619.49605,454.0,2014-03-31 08:07:46
15444.07723,482.0,2014-04-02 03:57:39
33061.63842,437.999,2014-04-02 22:04:07
16353.30839,487.999,2014-04-01 16:00:09
34306.66135,458.971,2014-03-31 13:48:14
39638.36219,430.484,2014-04-03 13:05:37
16783.38302,484.499,2014-04-01 12:24:54
