Date,Open,High,Low,Close,Volume,Adj Close
2000-03-03,485.07,485.07,485.07,485.07,1000000,485.07
2000-03-04,484.0,484.0,484.0,484.0,1000000,484.0
2000-03-05,483.182,483.182,483.182,483.182,1000000,483.182
2000-03-06,483.17,483.17,483.17,483.17,1000000,483.17
2000-03-07,483.17,483.17,483.17,483.17,1000000,483.17
2000-03-08,483.99,483.99,483.99,483.99,1000000,483.99
2000-03-09,479.001,479.001,479.001,479.001,1000000,479.001
2000-03-10,477.73,477.73,477.73,477.73,1000000,477.73
2000-03-11,473.709,473.709,473.709,473.709,1000000,473.709
2000-03-12,477.029,477.029,477.029,477.029,1000000,477.029
2000-03-13,470.542,470.542,470.542,470.542,1000000,470.542
2000-03-14,469.0,469.0,469.0,469.0,1000000,469.0
2000-03-15,456.614,456.614,456.614,456.614,1000000,456.614
2000-03-16,469.601,469.601,469.601,469.601,1000000,469.601
2000-03-17,460.636,460.636,460.636,460.636,1000000,460.636
2000-03-18,455.598,455.598,455.598,455.598,1000000,455.598
2000-03-19,461.999,461.999,461.999,461.999,1000000,461.999
2000-03-20,467.016,467.016,467.016,467.016,1000000,467.016
2000-03-21,459.9,459.9,459.9,459.9,1000000,459.9
2000-03-22,458.814,458.814,458.814,458.814,1000000,458.814
2000-03-23,455.002,455.002,455.002,455.002,1000000,455.002
2000-03-24,452.505,452.505,452.505,452.505,1000000,452.505
2000-03-25,450.01,450.01,450.01,450.01,1000000,450.01
2000-03-26,459.0,459.0,459.0,459.0,1000000,459.0
2000-03-27,462.178,462.178,462.178,462.178,1000000,462.178
2000-03-28,457.899,457.899,457.899,457.899,1000000,457.899
2000-03-29,455.108,455.108,455.108,455.108,1000000,455.108
2000-03-30,462.0,462.0,462.0,462.0,1000000,462.0
2000-03-31,455.001,455.001,455.001,455.001,1000000,455.001
2000-04-01,452.25,452.25,452.25,452.25,1000000,452.25
2000-04-02,450.546,450.546,450.546,450.546,1000000,450.546
2000-04-03,452.917,452.917,452.917,452.917,1000000,452.917
2000-04-04,452.972,452.972,452.972,452.972,1000000,452.972
2000-04-05,449.985,449.985,449.985,449.985,1000000,449.985
2000-04-06,450.1,450.1,450.1,450.1,1000000,450.1
2000-04-07,448.398,448.398,448.398,448.398,1000000,448.398
2000-04-08,450.439,450.439,450.439,450.439,1000000,450.439
2000-04-09,449.327,449.327,449.327,449.327,1000000,449.327
2000-04-10,449.33,449.33,449.33,449.33,1000000,449.33
2000-04-11,452.658,452.658,452.658,452.658,1000000,452.658
