volume,price,datetime
3612.201,474.9,2014-04-23 15:48:54
2735.09279,426.0,2014-05-05 16:21:16
26734.73941,503.4,2014-04-15 21:04:54
6003.80728,451.12,2014-04-26 14:20:52
8679.75435,434.6,2014-05-08 08:13:54
22531.74142,392.86,2014-04-10 17:03:42
3092.26817,433.62,2014-05-09 13:42:44
5357.82732,446.401,2014-04-09 08:23:25
10658.83172,466.0,2014-04-06 00:47:04
3332.02545,426.0,2014-05-04 17:44:00
16343.1317,488.001,2014-04-01 20:11:56
52430.36729,418.1,2014-04-11 21:12:24
27175.21758,527.0,2014-04-16 22:01:39
5191.92691,431.999,2014-05-03 03:53:36
2416.51502,428.0,2014-05-05 04:05:23
25746.58978,409.48,2014-04-13 23:28:54
5742.62769,480.0,2014-04-21 18:42:25
9724.37096,455.001,2014-04-05 21:51:44
5740.3341,451.623,2014-05-01 17:28:55
14482.18815,444.699,2014-04-07 23:58:59
11928.45568,470.0,2014-04-18 09:30:21
30110.60513,468.0,2014-03-31 17:03:26
42200.20515,436.865,2014-04-12 03:17:51
31944.33863,520.0,2014-04-16 05:35:29
3635.02583,427.75,2014-05-04 15:03:48
4283.48328,440.0,2014-05-10 00:30:00
2649.78627,424.9,2014-05-05 15:46:13
17306.22207,444.3,2014-04-25 13:43:57
4441.55471,442.362,2014-05-10 10:42:38
9748.8166,437.005,2014-04-09 23:12:17
11314.04469,497.0,2014-04-20 03:43:49
6037.40485,476.103,2014-04-23 03:07:30
5153.91852,430.01,2014-05-03 03:43:35
27549.24896,447.0,2014-04-03 19:18:16
8255.12567,430.65,2014-05-08 02:43:26
16429.02142,485.1,2014-04-01 14:30:04
9229.56802,463.0,2014-04-19 03:31:42
4447.03411,432.983,2014-04-27 21:03:29
7194.13397,430.499,2014-05-07 16:02:24
27517.75687,505.32,2014-04-16 17:31:21
2346.08788,426.873,2014-05-05 04:35:25
44642.28146,418.771,2014-04-11 23:37:35
11962.03863,449.482,2014-04-05 10:04:04
4239.22342,441.999,2014-05-09 23:54:58
6084.01913,427.349,2014-05-08 16:09:29
6344.51769,431.106,2014-04-29 09:26:44
2670.84142,439.335,2014-05-11 08:01:30
6202.01096,479.0,2014-04-23 01:37:10
6072.06154,497.99,2014-04-21 04:25:45
15922.13271,423.847,2014-04-13 02:49:41
2831.1956,439.51,2014-05-10 18:18:23
7557.32091,426.661,2014-04-28 09:04:28
20560.43036,439.0,2014-04-04 01:00:19
4769.07932,424.999,2014-05-06 10:00:47
9474.24362,436.448,2014-04-10 02:02:32
11243.48804,457.599,2014-04-07 05:46:50
25852.29867,518.594,2014-04-17 04:22:22
40734.92306,436.102,2014-04-12 04:07:55
6067.5568,425.524,2014-04-29 04:26:23
9789.33612,491.2,2014-04-19 18:13:10
5631.82057,437.001,2014-04-30 05:54:10
5142.36404,446.995,2014-04-09 11:13:38
2689.53043,425.0,2014-05-05 21:23:13
9839.39244,455.933,2014-04-05 22:51:51
7670.35634,433.947,2014-05-08 10:49:04
6401.11141,439.732,2014-04-29 13:27:02
11829.35681,483.94,2014-04-02 13:18:17
4523.05362,439.0,2014-05-10 14:02:58
35196.32277,444.0,2014-04-14 14:16:27
17385.5992,447.856,2014-04-25 16:29:17
5578.10294,450.99,2014-05-01 17:08:53
6249.84883,490.009,2014-04-21 15:51:37
11706.50262,445.964,2014-04-05 01:33:15
3584.08185,476.999,2014-04-23 20:04:13
28352.27441,460.385,2014-03-31 19:28:38
2819.6776,424.999,2014-05-05 18:06:23
11719.96282,444.0,2014-04-07 18:43:21
31883.38502,516.83,2014-04-16 03:45:22
5725.26913,434.02,2014-05-02 18:27:19
23110.92693,410.9,2014-04-10 13:03:24
7153.73301,494.0,2014-04-20 10:04:20
3965.00954,432.475,2014-05-04 01:02:16
26026.72965,518.23,2014-04-17 03:22:07
6561.1898,442.0,2014-04-29 11:56:54
16947.64372,490.0,2014-04-01 11:39:50
5477.11056,447.599,2014-04-09 00:36:50
5595.32291,425.0,2014-04-28 02:59:03
34890.70186,438.102,2014-04-14 09:05:36
13078.40674,446.25,2014-04-04 18:32:23
6197.36041,435.0,2014-05-02 16:57:11
6330.49225,483.705,2014-04-22 18:01:01
23040.69053,410.63,2014-04-10 10:38:15
29106.56167,493.8,2014-04-15 13:14:13
10802.67973,445.9,2014-04-07 15:43:03
3622.29431,432.82,2014-05-12 06:19:36
2976.48439,426.807,2014-05-04 18:49:04
20639.46034,427.0,2014-04-02 17:53:39
5092.21807,435.214,2014-05-02 23:28:12
6194.40055,478.548,2014-04-23 01:22:09
44088.04983,433.38,2014-04-12 02:47:49
10740.47775,494.999,2014-04-19 23:43:33
7999.24412,427.879,2014-04-28 13:39:47
8625.08297,453.998,2014-04-06 13:23:20
15575.12757,411.0,2014-04-10 06:12:53
8508.79363,428.206,2014-05-08 01:28:07
2728.59368,432.825,2014-05-03 07:19:25
3667.48962,475.701,2014-04-23 13:28:42
3544.94666,427.999,2014-05-04 06:28:02
35509.32745,457.0,2014-04-14 11:55:50
9992.77833,475.0,2014-04-18 23:26:24
3868.36664,432.738,2014-05-11 22:23:40
6270.12932,448.999,2014-05-01 21:49:16
26599.91364,520.001,2014-04-17 01:46:57
7715.59833,431.5,2014-05-08 10:39:03
8638.54356,467.466,2014-04-06 05:07:31
4226.92123,449.0,2014-04-27 00:21:36
16006.78828,440.5,2014-04-26 03:50:09
9550.11113,494.349,2014-04-19 13:52:49
18018.22649,419.735,2014-04-12 21:39:16
17174.4805,488.101,2014-04-01 22:07:06
